Fecha,Hora,La Grama-Breña Alta PRB (mb),Flag,La Grama-Breña Alta SO2 (µg/m³),Flag
16-03-2019,18:00,990,V,5,V
16-03-2019,19:00,990,V,3,V
16-03-2019,20:00,991,V,2,V
16-03-2019,21:00,991,V,4,V
16-03-2019,22:00,992,V,3,V
16-03-2019,23:00,992,V,4,V
16-03-2019,24:00,992,V,4,V
17-03-2019,01:00,992,V,6,V
17-03-2019,02:00,991,V,6,V
17-03-2019,03:00,991,V,4,V
17-03-2019,04:00,991,V,3,V
17-03-2019,05:00,991,V,4,V
17-03-2019,06:00,991,V,4,V
17-03-2019,07:00,991,V,2,V
17-03-2019,08:00,991,V,3,V
17-03-2019,09:00,992,V,3,V
17-03-2019,10:00,993,V,3,V
17-03-2019,11:00,993,V,5,V
17-03-2019,12:00,993,V,10,V
17-03-2019,13:00,993,V,12,V
17-03-2019,14:00,992,V,9,V
17-03-2019,15:00,992,V,10,V
17-03-2019,16:00,991,V,19,V
17-03-2019,17:00,991,V,25,V
17-03-2019,18:00,990,V,10,V
17-03-2019,19:00,990,V,8,V
17-03-2019,20:00,991,V,4,V
17-03-2019,21:00,991,V,4,V
17-03-2019,22:00,992,V,4,V
17-03-2019,23:00,992,V,4,V
17-03-2019,24:00,992,V,3,V
18-03-2019,01:00,992,V,4,V
18-03-2019,02:00,992,V,6,V
18-03-2019,03:00,991,V,6,V
18-03-2019,04:00,991,V,5,V
18-03-2019,05:00,990,V,5,V
18-03-2019,06:00,990,V,6,V
18-03-2019,07:00,991,V,5,V
18-03-2019,08:00,991,V,5,V
18-03-2019,09:00,991,V,5,V
18-03-2019,10:00,992,V,6,V
18-03-2019,11:00,992,V,6,V
18-03-2019,12:00,992,V,16,V
18-03-2019,13:00,992,V,15,V
18-03-2019,14:00,992,V,11,V
18-03-2019,15:00,991,V,11,V
18-03-2019,16:00,991,V,7,V
18-03-2019,17:00,991,V,6,V
18-03-2019,18:00,991,V,6,V
18-03-2019,19:00,991,V,4,V
18-03-2019,20:00,991,V,5,V
18-03-2019,21:00,991,V,5,V
18-03-2019,22:00,991,V,5,V
18-03-2019,23:00,992,V,5,V
18-03-2019,24:00,992,V,5,V
19-03-2019,01:00,992,V,3,V
19-03-2019,02:00,991,V,2,V
19-03-2019,03:00,991,V,3,V
19-03-2019,04:00,990,V,2,V
19-03-2019,05:00,990,V,2,V
19-03-2019,06:00,990,V,2,V
19-03-2019,07:00,990,V,2,V
19-03-2019,08:00,990,V,3,V
19-03-2019,09:00,990,V,2,V
19-03-2019,10:00,991,V,2,V
19-03-2019,11:00,991,V,3,V
19-03-2019,12:00,991,V,2,V
19-03-2019,13:00,991,V,2,V
19-03-2019,14:00,990,V,11,V
19-03-2019,15:00,990,V,14,V
19-03-2019,16:00,989,V,10,V
19-03-2019,17:00,989,V,6,V
19-03-2019,18:00,989,V,4,V
19-03-2019,19:00,989,V,2,V
19-03-2019,20:00,989,V,3,V
19-03-2019,21:00,990,V,3,V
19-03-2019,22:00,990,V,1,V
19-03-2019,23:00,990,V,2,V
19-03-2019,24:00,990,V,2,V
20-03-2019,01:00,990,V,4,V
20-03-2019,02:00,989,V,4,V
20-03-2019,03:00,988,V,4,V
20-03-2019,04:00,988,V,4,V
20-03-2019,05:00,987,V,5,V
20-03-2019,06:00,987,V,4,V
20-03-2019,07:00,987,V,3,V
20-03-2019,08:00,988,V,3,V
20-03-2019,09:00,989,V,4,V
20-03-2019,10:00,989,V,,N
20-03-2019,11:00,989,V,,N
20-03-2019,12:00,989,V,5,V
20-03-2019,13:00,989,V,5,V
20-03-2019,14:00,988,V,6,V
20-03-2019,15:00,987,V,6,V
20-03-2019,16:00,987,V,3,V
20-03-2019,17:00,987,V,3,V
20-03-2019,18:00,987,V,2,V
20-03-2019,19:00,987,V,3,V
20-03-2019,20:00,987,V,2,V
20-03-2019,21:00,988,V,3,V
20-03-2019,22:00,988,V,2,V
20-03-2019,23:00,988,V,3,V
20-03-2019,24:00,988,V,2,V
21-03-2019,01:00,988,V,3,V
21-03-2019,02:00,988,V,4,V
21-03-2019,03:00,987,V,5,V
21-03-2019,04:00,987,V,4,V
21-03-2019,05:00,987,V,4,V
21-03-2019,06:00,986,V,4,V
21-03-2019,07:00,987,V,4,V
21-03-2019,08:00,987,V,4,V
21-03-2019,09:00,988,V,4,V
21-03-2019,10:00,988,V,5,V
21-03-2019,11:00,989,V,6,V
21-03-2019,12:00,989,V,6,V
21-03-2019,13:00,988,V,6,V
21-03-2019,14:00,988,V,5,V
21-03-2019,15:00,987,V,5,V
21-03-2019,16:00,987,V,4,V
21-03-2019,17:00,987,V,4,V
21-03-2019,18:00,987,V,3,V
21-03-2019,19:00,987,V,2,V
21-03-2019,20:00,987,V,3,V
21-03-2019,21:00,987,V,3,V
21-03-2019,22:00,988,V,4,V
21-03-2019,23:00,988,V,3,V
21-03-2019,24:00,988,V,3,V
22-03-2019,01:00,988,V,2,V
22-03-2019,02:00,988,V,2,V
22-03-2019,03:00,987,V,1,V
22-03-2019,04:00,987,V,1,V
22-03-2019,05:00,986,V,1,V
22-03-2019,06:00,986,V,1,V
22-03-2019,07:00,986,V,1,V
22-03-2019,08:00,987,V,1,V
22-03-2019,09:00,987,V,2,V
22-03-2019,10:00,988,V,2,V
22-03-2019,11:00,988,V,2,V
22-03-2019,12:00,988,V,2,V
22-03-2019,13:00,988,V,4,V
22-03-2019,14:00,987,V,5,V
22-03-2019,15:00,987,V,4,V
22-03-2019,16:00,986,V,2,V
22-03-2019,17:00,986,V,4,V
22-03-2019,18:00,986,V,2,V
22-03-2019,19:00,986,V,3,V
22-03-2019,20:00,986,V,3,V
22-03-2019,21:00,987,V,3,V
22-03-2019,22:00,987,V,3,V
22-03-2019,23:00,987,V,2,V
22-03-2019,24:00,987,V,1,V
23-03-2019,01:00,988,V,3,V
23-03-2019,02:00,987,V,3,V
23-03-2019,03:00,987,V,3,V
23-03-2019,04:00,987,V,3,V
23-03-2019,05:00,986,V,3,V
23-03-2019,06:00,986,V,2,V
23-03-2019,07:00,986,V,4,V
23-03-2019,08:00,986,V,3,V
23-03-2019,09:00,987,V,3,V
23-03-2019,10:00,987,V,4,V
23-03-2019,11:00,987,V,4,V
23-03-2019,12:00,987,V,5,V
23-03-2019,13:00,986,V,4,V
23-03-2019,14:00,986,V,4,V
23-03-2019,15:00,986,V,3,V
23-03-2019,16:00,985,V,3,V
23-03-2019,17:00,985,V,4,V
23-03-2019,18:00,985,V,3,V
23-03-2019,19:00,985,V,3,V
23-03-2019,20:00,985,V,4,V
23-03-2019,21:00,985,V,4,V
23-03-2019,22:00,985,V,3,V
23-03-2019,23:00,985,V,4,V
23-03-2019,24:00,985,V,3,V
24-03-2019,01:00,985,V,5,V
24-03-2019,02:00,984,V,5,V
24-03-2019,03:00,984,V,5,V
24-03-2019,04:00,983,V,5,V
24-03-2019,05:00,983,V,4,V
24-03-2019,06:00,983,V,4,V
24-03-2019,07:00,983,V,5,V
24-03-2019,08:00,983,V,5,V
24-03-2019,09:00,984,V,5,V
24-03-2019,10:00,983,V,6,V
24-03-2019,11:00,984,V,5,V
24-03-2019,12:00,984,V,5,V
24-03-2019,13:00,983,V,5,V
24-03-2019,14:00,983,V,8,V
24-03-2019,15:00,982,V,10,V
24-03-2019,16:00,981,V,11,V
24-03-2019,17:00,981,V,9,V
24-03-2019,18:00,981,V,6,V
24-03-2019,19:00,981,V,5,V
24-03-2019,20:00,981,V,6,V
24-03-2019,21:00,981,V,5,V
24-03-2019,22:00,981,V,5,V
24-03-2019,23:00,981,V,5,V
24-03-2019,24:00,981,V,4,V
25-03-2019,01:00,980,V,4,V
25-03-2019,02:00,980,V,5,V
25-03-2019,03:00,979,V,4,V
25-03-2019,04:00,979,V,7,V
25-03-2019,05:00,979,V,7,V
25-03-2019,06:00,979,V,6,V
25-03-2019,07:00,978,V,5,V
25-03-2019,08:00,978,V,7,V
25-03-2019,09:00,979,V,11,V
25-03-2019,10:00,979,V,12,V
25-03-2019,11:00,979,V,6,V
25-03-2019,12:00,979,V,12,V
25-03-2019,13:00,979,V,11,V
25-03-2019,14:00,978,V,7,V
25-03-2019,15:00,977,V,9,V
25-03-2019,16:00,977,V,7,V
25-03-2019,17:00,976,V,17,V
25-03-2019,18:00,976,V,17,V
25-03-2019,19:00,977,V,14,V
25-03-2019,20:00,977,V,6,V
25-03-2019,21:00,977,V,5,V
25-03-2019,22:00,978,V,8,V
25-03-2019,23:00,978,V,5,V
25-03-2019,24:00,978,V,7,V
26-03-2019,01:00,978,V,5,V
26-03-2019,02:00,978,V,5,V
26-03-2019,03:00,977,V,5,V
26-03-2019,04:00,977,V,4,V
26-03-2019,05:00,977,V,3,V
26-03-2019,06:00,977,V,4,V
26-03-2019,07:00,977,V,4,V
26-03-2019,08:00,978,V,4,V
26-03-2019,09:00,978,V,7,V
26-03-2019,10:00,979,V,8,V
26-03-2019,11:00,979,V,7,V
26-03-2019,12:00,979,V,5,V
26-03-2019,13:00,978,V,4,V
26-03-2019,14:00,978,V,4,V
26-03-2019,15:00,979,V,4,V
26-03-2019,16:00,979,V,4,V
26-03-2019,17:00,979,V,5,V
26-03-2019,18:00,980,V,4,V
26-03-2019,19:00,980,V,5,V
26-03-2019,20:00,981,V,5,V
26-03-2019,21:00,982,V,7,V
26-03-2019,22:00,982,V,8,V
26-03-2019,23:00,983,V,7,V
26-03-2019,24:00,983,V,5,V
27-03-2019,01:00,983,V,5,V
27-03-2019,02:00,983,V,6,V
27-03-2019,03:00,983,V,6,V
27-03-2019,04:00,983,V,5,V
27-03-2019,05:00,983,V,4,V
27-03-2019,06:00,983,V,4,V
27-03-2019,07:00,984,V,3,V
27-03-2019,08:00,984,V,4,V
27-03-2019,09:00,985,V,31,V
27-03-2019,10:00,985,V,17,V
27-03-2019,11:00,986,V,13,V
27-03-2019,12:00,986,V,3,V
27-03-2019,13:00,986,V,3,V
27-03-2019,14:00,986,V,3,V
27-03-2019,15:00,986,V,4,V
27-03-2019,16:00,985,V,4,V
27-03-2019,17:00,985,V,7,V
27-03-2019,18:00,986,V,6,V
27-03-2019,19:00,986,V,5,V
27-03-2019,20:00,986,V,4,V
27-03-2019,21:00,986,V,3,V
27-03-2019,22:00,987,V,2,V
27-03-2019,23:00,987,V,3,V
27-03-2019,24:00,987,V,2,V
28-03-2019,01:00,,N,,N
28-03-2019,02:00,,N,,N
28-03-2019,03:00,,N,,N
28-03-2019,04:00,,N,,N
28-03-2019,05:00,,N,,N
28-03-2019,06:00,,N,,N
28-03-2019,07:00,,N,,N
28-03-2019,08:00,,N,,N
28-03-2019,09:00,,N,,N
28-03-2019,10:00,,N,,N
28-03-2019,11:00,,N,,N
28-03-2019,12:00,,N,,N
28-03-2019,13:00,,N,,N
28-03-2019,14:00,,N,,N
28-03-2019,15:00,,N,,N
28-03-2019,16:00,,N,,N
28-03-2019,17:00,,N,,N
28-03-2019,18:00,,N,,N
28-03-2019,19:00,,N,,N
28-03-2019,20:00,,N,,N
28-03-2019,21:00,,N,,N
28-03-2019,22:00,,N,,N
28-03-2019,23:00,,N,,N
28-03-2019,24:00,,N,,N
29-03-2019,01:00,987,V,3,V
29-03-2019,02:00,987,V,2,V
29-03-2019,03:00,987,V,3,V
29-03-2019,04:00,986,V,3,V
29-03-2019,05:00,986,V,2,V
29-03-2019,06:00,986,V,3,V
29-03-2019,07:00,986,V,4,V
29-03-2019,08:00,987,V,4,V
29-03-2019,09:00,987,V,5,V
29-03-2019,10:00,987,V,10,V
29-03-2019,11:00,987,V,9,V
29-03-2019,12:00,987,V,7,V
29-03-2019,13:00,987,V,5,V
29-03-2019,14:00,987,V,6,V
29-03-2019,15:00,986,V,12,V
29-03-2019,16:00,986,V,9,V
29-03-2019,17:00,985,V,10,V
29-03-2019,18:00,985,V,9,V
29-03-2019,19:00,985,V,4,V
29-03-2019,20:00,986,V,4,V
29-03-2019,21:00,986,V,6,V
29-03-2019,22:00,987,V,9,V
29-03-2019,23:00,987,V,8,V
29-03-2019,24:00,987,V,8,V
30-03-2019,01:00,987,V,8,V
30-03-2019,02:00,986,V,7,V
30-03-2019,03:00,986,V,6,V
30-03-2019,04:00,986,V,4,V
30-03-2019,05:00,986,V,4,V
30-03-2019,06:00,986,V,4,V
30-03-2019,07:00,986,V,5,V
30-03-2019,08:00,987,V,9,V
30-03-2019,09:00,987,V,13,V
30-03-2019,10:00,988,V,28,V
30-03-2019,11:00,988,V,9,V
30-03-2019,12:00,988,V,4,V
30-03-2019,13:00,988,V,5,V
30-03-2019,14:00,988,V,10,V
30-03-2019,15:00,987,V,30,V
30-03-2019,16:00,987,V,7,V
30-03-2019,17:00,987,V,5,V
30-03-2019,18:00,987,V,4,V
30-03-2019,19:00,987,V,4,V
30-03-2019,20:00,987,V,4,V
30-03-2019,21:00,988,V,4,V
30-03-2019,22:00,988,V,4,V
30-03-2019,23:00,988,V,4,V
30-03-2019,24:00,988,V,4,V
31-03-2019,02:00,,N,,N
31-03-2019,04:00,,N,,N
31-03-2019,05:00,,N,,N
31-03-2019,06:00,,N,,N
31-03-2019,07:00,,N,,N
31-03-2019,08:00,,N,,N
31-03-2019,09:00,,N,,N
31-03-2019,10:00,,N,,N
31-03-2019,11:00,,N,,N
31-03-2019,12:00,,N,,N
31-03-2019,13:00,,N,,N
31-03-2019,14:00,,N,,N
31-03-2019,15:00,,N,,N
31-03-2019,16:00,,N,,N
31-03-2019,17:00,,N,,N
31-03-2019,18:00,,N,,N
31-03-2019,19:00,,N,,N
31-03-2019,20:00,,N,,N
31-03-2019,21:00,,N,,N
31-03-2019,22:00,,N,,N
31-03-2019,23:00,,N,,N
31-03-2019,24:00,,N,,N
31-03-2019,01:00,,N,,N
01-04-2019,01:00,,N,,N
01-04-2019,02:00,,N,,N
01-04-2019,03:00,,N,,N
01-04-2019,04:00,,N,,N
01-04-2019,05:00,,N,,N
01-04-2019,06:00,,N,,N
01-04-2019,07:00,,N,,N
01-04-2019,08:00,,N,,N
01-04-2019,09:00,,N,,N
01-04-2019,10:00,,N,,N
01-04-2019,11:00,,N,,N
01-04-2019,12:00,,N,,N
01-04-2019,13:00,,N,,N
01-04-2019,14:00,,N,,N
01-04-2019,15:00,,N,,N
01-04-2019,16:00,,N,,N
01-04-2019,17:00,,N,,N
01-04-2019,18:00,,N,,N
01-04-2019,19:00,,N,,N
01-04-2019,20:00,,N,,N
01-04-2019,21:00,,N,,N
01-04-2019,22:00,,N,,N
01-04-2019,23:00,,N,,N
01-04-2019,24:00,,N,,N